,MAD,Median,Mean,Variance,Std,Kurtosis,Skew,Crest Factor,Impulse Factor,Shape Factor,Anomaly
43,0.778685919,1.157048,1.117008251,1.056794446,1.028005081,1.041044567,-0.273659709,3.765941607,4.425385842,1.175107398,1
44,1.134366462,1.143384,1.117512257,2.397684637,1.548445878,2.546077533,0.096811386,6.694716404,8.396024059,1.254126919,1
45,0.947643862,1.171444,1.117941827,1.616368127,1.271364671,1.834150249,-0.243250985,5.658637508,6.79940341,1.201597275,1
46,0.852068739,1.137528,1.118062916,1.284766752,1.133475519,1.549658132,-0.123155667,4.488232458,5.384697794,1.199736833,1
47,0.981526072,1.140456,1.116427791,1.765676152,1.328787474,1.876069238,0.037591334,4.895080966,6.015304976,1.228846881,1
48,0.980883097,1.173152,1.115522518,1.736339157,1.317702226,2.113133478,-0.160990834,5.634468852,6.847448843,1.215278498,1
49,1.088535159,1.138016,1.11691745,2.138125223,1.462232958,1.550225178,-0.014279106,5.18365109,6.40408313,1.235438694,1
50,0.933097929,1.170224,1.117140434,1.56366918,1.250467585,1.531698608,-0.269760366,5.177420603,6.210911957,1.199615104,1
51,1.072109242,1.147776,1.117675672,1.975931614,1.405678347,1.06670044,-0.073437534,5.368947478,6.58135488,1.225818451,1
52,1.136311525,1.14802,1.117401449,2.341522188,1.530203316,1.60669764,-0.018235225,4.575165604,5.684132465,1.242388354,1
53,1.049875124,1.178032,1.115870853,2.031906904,1.42544972,2.607393294,-0.242962223,6.530949011,7.982173245,1.222207252,1
54,1.063975864,1.142652,1.116693393,2.024168988,1.422732929,1.647974315,-0.062493784,5.03180273,6.210682716,1.234285812,1
55,1.169856466,1.152656,1.118742961,2.487917874,1.577313499,2.143115509,0.003378892,5.809224476,7.248089683,1.247686281,1
56,1.063392616,1.16754,1.1169615,2.062457884,1.436125999,1.955771041,-0.15522989,6.176453731,7.564733879,1.22476978,1
57,1.038225798,1.136796,1.116779281,1.905364864,1.380349544,1.416974928,-0.144795698,4.360693219,5.342871403,1.225234414,1
58,1.067564618,1.150216,1.116434623,2.054657394,1.433407616,1.972262546,-0.097612344,5.873012163,7.227697664,1.230662812,1
59,1.132314601,1.174616,1.118762871,2.316120339,1.521880527,2.144845746,-0.168989214,5.560130942,6.87547473,1.236567052,1
60,1.043656887,1.1529,1.115064774,1.95852886,1.399474494,1.761724721,-0.184597479,5.303028998,6.489486931,1.223732122,1
61,1.063283422,1.16998,1.117051097,2.008568283,1.41723967,1.45844888,-0.18705628,4.778475935,5.819281377,1.217811172,1
62,1.121579832,1.167784,1.115284114,2.223013873,1.490977489,1.367542443,-0.170994397,4.742785384,5.830112782,1.229259245,1
63,1.119743194,1.16632,1.117116294,2.244517215,1.49817129,1.455020094,-0.146006227,4.878135361,5.998776546,1.229727365,1
64,1.105317727,1.1468,1.11798373,2.143855093,1.464190935,1.499132032,-0.119052431,4.841294636,5.972020255,1.233558522,1
65,1.100470007,1.16998,1.117860722,2.108831818,1.452181744,1.23185236,-0.116544192,4.997683334,6.116947776,1.223956655,1
66,1.166595375,1.163392,1.117788075,2.388618041,1.545515461,1.132558565,-0.089996642,4.631641686,5.69685709,1.229986574,1
67,1.014887677,1.132648,1.115800288,1.825335623,1.351049822,1.567379058,-0.109872788,5.891402152,7.219208158,1.225380304,1
68,1.131562613,1.153144,1.116774759,2.242172127,1.497388436,1.419735333,-0.091201057,5.87068508,7.254373505,1.235694541,1
69,1.08043414,1.168272,1.117022826,2.083162746,1.443316578,1.372002252,-0.143426462,4.81054354,5.87754478,1.221804715,1
70,1.116012212,1.149972,1.115476223,2.253930769,1.501309685,1.95148606,-0.077764869,5.945955533,7.381112398,1.241366902,1
71,1.096100129,1.166808,1.117363027,2.099345233,1.448911741,1.141084053,-0.122100185,4.524445807,5.534735468,1.223295781,1
72,1.133048379,1.177544,1.119574122,2.298708513,1.516149238,1.665661146,-0.14725602,4.858208652,5.982047163,1.231327757,1
73,1.061782449,1.143628,1.117462026,2.003311053,1.415383712,1.754128573,-0.159924648,5.611891401,6.905732084,1.230553407,1
74,1.132089842,1.162172,1.115473165,2.238401077,1.496128697,1.115095461,-0.115855104,4.191499068,5.152533176,1.229281718,1
75,1.09220491,1.179984,1.119185967,2.087502851,1.444819314,1.244170568,-0.163194642,4.667483707,5.697603291,1.22070127,1
76,1.093194354,1.148996,1.117662659,2.084763929,1.443871161,1.290044074,-0.05621289,4.68728548,5.784673845,1.234120232,1
77,1.129911947,1.160952,1.115538167,2.252111256,1.500703587,1.477488039,-0.157267381,4.472869814,5.521385233,1.234416709,1
78,1.086346512,1.169492,1.117363482,2.100037654,1.449150666,1.481372406,-0.153904417,5.419225586,6.622039474,1.221953094,1
79,1.141648415,1.14314,1.117369306,2.299835091,1.516520719,1.509680998,-0.082988896,5.534378819,6.867899291,1.24095215,1
80,1.038308228,1.17364,1.117379977,1.851463,1.360684754,0.952447046,-0.258701696,4.776667295,5.775130609,1.209029278,1
81,1.0346571,1.165588,1.113709696,1.854822361,1.361918632,1.339379,-0.158448581,5.417537582,6.593138761,1.216999174,1
82,1.187170006,1.138992,1.118656585,2.471495252,1.572098996,1.53945773,-0.117273212,4.519139957,5.64141086,1.248337275,1
83,1.140088676,1.164368,1.116246971,2.320216526,1.523225698,2.279269407,-0.047927379,6.941508634,8.617759904,1.241482271,1
84,1.121556964,1.186328,1.116087362,2.227929828,1.492625147,1.547399584,-0.147301697,5.970932337,7.310473006,1.224343636,1
85,1.059703482,1.147532,1.117570687,1.975009009,1.405350138,1.887425861,-0.131337652,5.408776137,6.658674577,1.231087109,1
86,1.106113245,1.167296,1.116220749,2.164012049,1.471058139,1.551351955,-0.136609998,5.167503019,6.341831805,1.227252656,1
87,1.069110313,1.171932,1.117541862,1.99573058,1.412703288,1.42918831,-0.204989975,5.142015886,6.278619877,1.221042489,1
88,0.966736328,1.14924,1.117221799,1.598123261,1.264169,0.827709909,-0.203522089,4.062567906,4.916970359,1.210310935,1
89,1.047573708,1.169248,1.11678325,1.941086903,1.393228949,1.625388277,-0.171818808,5.69394746,6.962454345,1.222781628,1
90,1.131738661,1.165832,1.114904645,2.280804579,1.510233286,1.534115478,-0.16308561,5.608202614,6.924831039,1.234768341,1
91,1.149061149,1.13094,1.116091429,2.307353835,1.518997642,1.285131567,-0.074107433,4.783577635,5.935781761,1.240866609,1
92,1.091568334,1.159488,1.118042778,2.101953101,1.449811402,1.299133768,-0.187006191,5.15097076,6.300914185,1.223247904,1
93,1.011691558,1.182912,1.117101394,1.798470528,1.341070665,1.23496769,-0.295261019,4.791676517,5.774930037,1.205200313,1
94,1.061356686,1.13826,1.116698078,1.982525292,1.408021765,1.54174673,-0.019722342,5.842937158,7.225960235,1.236699975,1
95,1.146206374,1.147288,1.116779021,2.315653409,1.521727114,1.508964712,-0.130244006,4.835917008,6.009509322,1.242682476,1
96,1.061910807,1.176812,1.119116281,1.992432443,1.411535491,1.479629688,-0.210236445,5.821547804,7.076583903,1.215584607,1
97,1.078796491,1.178032,1.119945132,2.039181758,1.427999215,1.038892067,-0.190791299,4.593380457,5.587404125,1.216403513,1
98,1.076566593,1.12484,1.114454124,2.045813588,1.430319401,1.638273172,0.038951573,5.632130062,6.994541671,1.241899884,1
99,1.085039548,1.174128,1.115308156,2.03550683,1.426711894,1.112863216,-0.196453594,4.747911507,5.792114409,1.219928889,1
100,0.986778864,1.162172,1.117463782,1.693937852,1.301513677,1.167719482,-0.212259341,5.076519963,6.138999752,1.20929294,1
101,1.092675026,1.168272,1.116676703,2.101304366,1.449587654,1.479452568,-0.174646757,5.089277792,6.224664493,1.223093875,1
102,1.062236266,1.135088,1.115396257,2.036381567,1.427018419,2.770126893,-0.235686933,6.113160427,7.552997314,1.235530689,1
103,0.96242271,1.179984,1.113754494,1.613490455,1.270232441,1.14069043,-0.302816896,4.197810483,5.06300242,1.206105526,1
104,1.060154142,1.16876,1.115632091,1.963508687,1.401252542,1.180361246,-0.208651002,4.54589217,5.523531225,1.215059887,1
105,1.077857501,1.177056,1.118177759,2.065157254,1.437065501,1.502506815,-0.17164995,4.599810072,5.639411748,1.226009696,1
106,1.161623825,1.141676,1.120742329,2.41639532,1.554475899,1.688544577,-0.000414383,5.550831072,6.933697023,1.249127731,1
107,0.98154405,1.176568,1.118855526,1.655747719,1.28675861,1.147854548,-0.287535012,4.107390625,4.955500969,1.206483975,1
108,1.01533293,1.186816,1.117687156,1.798773933,1.341183781,1.329291744,-0.252863427,5.023528339,6.053979725,1.205125027,1
109,1.048897451,1.16266,1.116949268,2.001132685,1.41461397,2.400302892,-0.122463641,5.91204247,7.276779717,1.230840231,1
110,1.124323652,1.130208,1.116552231,2.208077404,1.485960095,1.127688668,-0.005146837,5.336047313,6.641829342,1.244709605,1
111,0.972205445,1.176568,1.116844933,1.660706963,1.288684198,1.6127447,-0.389948078,4.572369682,5.52647879,1.208668409,1
112,0.935741345,1.173152,1.116740729,1.540138408,1.241023129,1.304898633,-0.344976736,4.868584447,5.824214873,1.196285067,1
113,1.05652623,1.178276,1.116412891,1.923071569,1.38674856,1.050944605,-0.233854332,4.862745406,5.909382714,1.215235884,1
114,0.960408401,1.151924,1.119641401,1.623360302,1.274111574,1.408982899,-0.167882229,4.509259796,5.508704019,1.221642635,1
115,0.93990257,1.137284,1.116054276,1.513229285,1.230133848,0.965390409,-0.170776647,4.340675317,5.259602976,1.211701542,1
116,1.081812322,1.19194,1.116855539,2.044333407,1.429801877,1.2619032,-0.235964441,4.790420502,5.831940821,1.217417306,1
117,0.95599532,1.18096,1.115732521,1.602294042,1.265817539,1.364987199,-0.370077059,4.498094584,5.38225897,1.196564205,1
118,1.061857401,1.187304,1.118853249,2.004152782,1.415681031,1.501548552,-0.214953199,4.788495231,5.845953544,1.220833114,1
119,1.051538287,1.13582,1.119582809,1.97571882,1.405602654,1.562497916,-0.057491161,4.859379603,6.003188191,1.235381609,1
120,0.943616914,1.167784,1.117386451,1.539128287,1.240616092,1.008577355,-0.269975471,4.1901184,5.040472032,1.202942626,1
121,0.943628528,1.147288,1.112098938,1.590418951,1.261118135,1.392835959,-0.215583931,5.137948314,6.190628846,1.204883441,1
122,1.10149517,1.195112,1.120108059,2.129424736,1.459254857,1.350691318,-0.198789557,5.894199989,7.175687753,1.217415046,1
123,1.011338833,1.137528,1.120726746,1.82899218,1.352402374,1.66571038,-0.120209071,5.466174019,6.705577543,1.22674059,1
124,0.930930906,1.165344,1.114188001,1.531167917,1.2374037,1.773154074,-0.306481332,4.916319365,5.951495964,1.210559266,1
125,1.091204938,1.162904,1.115351979,2.127625997,1.458638405,1.572141679,-0.147709456,4.799734609,5.903078125,1.229875942,1
126,1.004582685,1.186084,1.116339821,1.805462401,1.343674961,1.502453809,-0.31552274,5.011560513,6.039623702,1.205138337,1
127,1.042387411,1.167296,1.115550562,1.951028536,1.396792231,1.651502006,-0.248355071,4.856820149,5.93894824,1.222805881,1
128,0.922858832,1.14802,1.119811941,1.495743651,1.22300599,1.14963938,-0.189764509,4.109170216,4.959575476,1.206953038,1
129,0.921235609,1.170956,1.117916451,1.504032369,1.226389974,1.576946453,-0.330484603,5.098353842,6.11224101,1.198865594,1
130,1.056149492,1.149484,1.114050353,1.979769941,1.407042978,1.426577047,-0.160355135,5.439109609,6.64994427,1.222616338,1
131,0.99501089,1.160464,1.115772895,1.746650987,1.321609242,1.219272074,-0.303239438,4.419475432,5.332946209,1.206692127,1
132,1.120301631,1.145336,1.12238253,2.238838356,1.496274826,1.400995524,-0.050786718,5.078155057,6.300630859,1.240732272,1
133,1.09583586,1.167052,1.117953702,2.153618331,1.467521152,1.572708657,-0.162710469,5.432476442,6.653222502,1.224712628,1
134,1.051417239,1.169004,1.117852946,1.922485718,1.386537312,1.051805586,-0.207225599,4.714138845,5.713677571,1.212029972,1
135,0.932040256,1.164368,1.115910316,1.543623256,1.242426358,1.475703471,-0.396591335,3.950184869,4.743062701,1.200719171,1
136,1.04550013,1.146312,1.118242273,1.934752567,1.390953834,1.903523857,-0.110798266,6.313557652,7.778844978,1.232085839,1
137,1.076328753,1.147532,1.115948347,2.061862498,1.435918695,1.624636979,-0.055365726,5.252266784,6.481474225,1.234033702,1
138,0.98333637,1.142652,1.116678786,1.673691792,1.293712407,1.526134954,-0.209379928,5.436547776,6.614674356,1.216704907,1
139,1.074328191,1.165344,1.119904238,2.065449498,1.437167178,1.647490765,-0.171025738,5.282598812,6.473855641,1.22550583,1
140,1.096852971,1.16876,1.121742957,2.124746006,1.457650852,1.534162893,-0.165231946,5.189073782,6.372726633,1.228104841,1
141,1.094873264,1.133136,1.117806293,2.12554129,1.457923623,1.54198049,-0.078089254,6.04499396,7.492034549,1.239378335,1
142,0.989319122,1.137528,1.12062137,1.786065761,1.336437713,2.101744325,-0.161459561,4.968438831,6.093117606,1.226364621,1
143,1.033191078,1.16876,1.1163515,1.886388897,1.373458735,1.388190322,-0.219082134,5.504987882,6.70725539,1.218396032,1
144,0.972678306,1.159732,1.118693022,1.685504015,1.298269623,1.556026561,-0.259747697,5.699631275,6.899881941,1.210583915,1
145,0.941770299,1.166076,1.118916266,1.557710748,1.248082829,1.303986239,-0.443303612,3.847610358,4.62054497,1.200886925,1
146,1.029314943,1.1224,1.115251451,1.833011554,1.353887571,1.059352063,-0.102084784,4.214023962,5.175808222,1.228234169,1
147,1.038098683,1.146312,1.118274058,1.887882279,1.374002285,1.36868126,-0.111699168,5.41368776,6.650010979,1.228369879,1
148,1.068510327,1.164124,1.117548759,2.01042222,1.417893586,1.209358707,-0.152948332,4.616550569,5.637648068,1.221181916,1
149,1.096353921,1.159732,1.12127721,2.105937931,1.451185009,1.40002174,-0.200744715,5.599789926,6.874562772,1.227646548,1
150,1.135706479,1.163636,1.11577078,2.285868508,1.511908895,1.452516165,-0.130879186,5.275413855,6.513803622,1.234747415,1
151,1.077558954,1.1468,1.117347541,2.060719766,1.43552073,1.291326909,-0.152810811,4.583794072,5.627005322,1.227586849,1
152,1.093021674,1.150216,1.114869249,2.072780892,1.439715559,1.17281398,-0.155306566,5.535495065,6.8022212,1.228837009,1
153,1.077566237,1.164612,1.120484242,2.033669346,1.426067792,1.200884068,-0.254322806,5.07076917,6.181637605,1.219072965,1
154,1.056846248,1.151924,1.119447405,1.952738674,1.397404263,1.414095815,-0.206232085,5.462974223,6.689866928,1.224583286,1
155,1.095423433,1.14436,1.118765994,2.088764063,1.445255709,1.123933684,-0.050964735,4.577812304,5.64718298,1.233598628,1
156,1.089298057,1.120448,1.120052948,2.098997308,1.448791672,1.624449714,-0.055955879,5.948168786,7.372492801,1.239455884,1
157,1.095736004,1.155584,1.120860165,2.120518726,1.456200098,1.292902318,-0.215127747,5.626704964,6.902860986,1.226803436,1
158,1.085359448,1.13948,1.121556703,2.077824686,1.441466159,1.3775419,-0.132759095,4.856770894,5.992066882,1.23375531,1
159,1.012070703,1.111664,1.12170011,1.799544287,1.341470942,1.311879564,-0.113525101,4.579594555,5.64289776,1.232182826,1
160,1.067788645,1.106052,1.120221373,2.012376504,1.418582569,1.405993841,-0.082836281,4.704353351,5.840071396,1.241418524,1
161,1.065590561,1.13826,1.115397363,2.022771292,1.422241643,2.002370667,-0.258090053,6.945038825,8.548686703,1.230905531,1
162,1.099780666,1.128256,1.118782261,2.126091315,1.458112244,1.469659909,-0.10511171,4.920705729,6.10276286,1.240221057,1
163,1.084144083,1.135576,1.1236932,2.057302781,1.434330081,1.336294342,-0.090271046,6.405040386,7.89506871,1.232633712,1
164,1.012180934,1.113616,1.114523745,1.774149517,1.331972041,0.991598394,-0.195292514,4.116416077,5.041255941,1.224671133,1
165,1.083425863,1.152656,1.121118642,2.067601139,1.437915553,1.290782676,-0.206207432,4.747721712,5.829601207,1.227873401,1
166,1.098851893,1.115812,1.114693667,2.093592908,1.446925329,1.159173778,-0.072157034,5.261503972,6.495419102,1.234517571,1
167,1.053189463,1.132404,1.118056377,1.968277568,1.40295316,1.559458472,-0.145599855,5.428751376,6.681368929,1.23073769,1
168,0.992603799,1.104832,1.1137719,1.698747834,1.303360209,0.938225905,-0.153753999,4.18455706,5.127785012,1.22540688,1
169,1.213995191,1.16632,1.116138895,2.56984789,1.603074512,1.417409289,-0.155607768,5.887399179,7.283018824,1.237051982,1
170,1.005109541,1.120448,1.12344689,1.7247009,1.313278683,0.967791878,-0.136532834,4.2832285,5.243754077,1.224252705,1
171,1.05347823,1.160952,1.120111963,1.942388477,1.393695977,1.473539786,-0.256308703,5.480911608,6.720668659,1.22619541,1
172,1.135680851,1.12728,1.119289683,2.229051918,1.493000977,1.178412433,-0.043705747,5.572324426,6.919386597,1.241741519,1
173,1.045316792,1.162904,1.12309527,1.834972025,1.354611392,0.854463387,-0.365693626,4.190737502,5.094236006,1.215594153,1
174,1.014269039,1.134112,1.121222651,1.781304358,1.334655146,1.268122834,-0.174885972,4.683431177,5.73489699,1.224507583,1
175,1.126304544,1.13216,1.122551345,2.250280187,1.500093393,1.468104399,-0.124771121,5.126117711,6.369574211,1.242572756,1
176,1.178947641,1.109956,1.119456026,2.438637968,1.561613899,1.243770227,0.003813518,6.050566348,7.563806581,1.25009894,1
177,1.077214109,1.147288,1.116815653,1.956069807,1.398595655,0.818980577,-0.307521494,4.141943707,5.05113021,1.219507209,1
178,1.143960874,1.13948,1.120750527,2.267764128,1.505909734,1.314882024,-0.12002259,5.034701444,6.253041848,1.24198861,1
179,0.959795964,1.134112,1.115005954,1.569990147,1.252992477,0.921034276,-0.274298991,3.875153789,4.702713246,1.213555255,1
180,1.139114924,1.114592,1.118036467,2.216522839,1.488799127,0.926230909,-0.097318117,4.193390243,5.206193215,1.241523663,1
181,1.123874852,1.114836,1.120331693,2.210384433,1.486736168,1.217379802,-0.137173731,5.044381507,6.264550846,1.241886808,1
182,1.158192439,1.147044,1.118274025,2.29666799,1.51547616,0.917779892,-0.211828969,4.60689642,5.667628704,1.230248781,1
183,1.141106237,1.126304,1.120433458,2.229423129,1.493125289,0.924936028,-0.031207393,4.560653932,5.671933617,1.243666742,1
184,1.068438435,1.141432,1.118281378,1.948032714,1.395719425,0.856923179,-0.175716235,4.095364551,5.010247379,1.223394723,1
185,1.113512121,1.116788,1.120529463,2.120544078,1.456208803,1.284792838,-0.037843117,5.725835029,7.102623392,1.240451979,1
186,1.164005194,1.162416,1.120327074,2.3039666,1.517882275,0.868713539,-0.246198093,4.129443091,5.07622316,1.229275485,1
187,1.043882325,1.129232,1.122083711,1.823712204,1.35044889,0.721810096,-0.100544304,4.131829559,5.069977928,1.227053986,1
188,1.107187425,1.11264,1.121610221,2.103414303,1.450315243,1.19737492,-0.05153665,5.368105221,6.675960755,1.243634482,1
189,1.08402937,1.099464,1.12316398,1.978222984,1.406493151,0.716784434,-0.09028752,3.935076516,4.860226898,1.23510353,1
190,1.149359773,1.147288,1.122069852,2.283562438,1.511146068,1.021359561,-0.105166145,5.67446553,6.99323193,1.232403632,1
191,0.988518995,1.143384,1.11908931,1.617157164,1.271674944,0.752284369,-0.311822448,3.696085406,4.489039012,1.214538767,1
192,1.042877984,1.10776,1.122272242,1.852988471,1.361245192,1.178093087,-0.004731732,5.01768714,6.216783987,1.238974016,1
193,1.136573673,1.11264,1.123684253,2.253163276,1.501054055,1.405697303,-0.029820132,5.446962588,6.788028153,1.246204292,1
194,1.186094161,1.09068,1.120393149,2.414425947,1.553842317,1.114768046,0.036469734,5.10965724,6.416594845,1.25577794,1
195,0.992293141,1.138504,1.122438259,1.658569441,1.287854588,0.687778794,-0.25550968,3.491869426,4.240834826,1.214488375,1
